,Conditions,Drug,Smiles,Disease
5218,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Anatomic Stage IV Breast Cancer AJCC v8|Anemia|Ann Arbor Stage III Hodgkin Lymphoma|Ann Arbor Stage III Non-Hodgkin Lymphoma|Ann Arbor Stage IV Hodgkin Lymphoma|Ann Arbor Stage IV Non-Hodgkin Lymphoma|Atypical Chronic Myeloid Leukemia, BCR-ABL1 Negative|Blast Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Castration-Resistant Prostate Carcinoma|Chronic Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Hematopoietic and Lymphoid System Neoplasm|Locally Advanced Pancreatic Adenocarcinoma|Metastatic Breast Carcinoma|Metastatic Malignant Solid Neoplasm|Metastatic Pancreatic Adenocarcinoma|Myelodysplastic/Myeloproliferative Neoplasm With Ring Sideroblasts and Thrombocytosis|Myelodysplastic/Myeloproliferative Neoplasm, Unclassifiable|Primary Myelofibrosis|Recurrent Acute Lymphoblastic Leukemia|Recurrent Acute Myeloid Leukemia|Recurrent Chronic Lymphocytic Leukemia|Recurrent Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Recurrent Hematologic Malignancy|Recurrent Hodgkin Lymphoma|Recurrent Myelodysplastic Syndrome|Recurrent Myelodysplastic/Myeloproliferative Neoplasm|Recurrent Myeloproliferative Neoplasm|Recurrent Non-Hodgkin Lymphoma|Recurrent Plasma Cell Myeloma|Recurrent Small Lymphocytic Lymphoma|Refractory Acute Lymphoblastic Leukemia|Refractory Acute Myeloid Leukemia|Refractory Chronic Lymphocytic Leukemia|Refractory Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Refractory Chronic Myelomonocytic Leukemia|Refractory Hematologic Malignancy|Refractory Hodgkin Lymphoma|Refractory Malignant Solid Neoplasm|Refractory Myelodysplastic Syndrome|Refractory Myelodysplastic/Myeloproliferative Neoplasm|Refractory Non-Hodgkin Lymphoma|Refractory Plasma Cell Myeloma|Refractory Primary Myelofibrosis|Refractory Small Lymphocytic Lymphoma|Stage II Pancreatic Cancer AJCC v8|Stage III Pancreatic Cancer AJCC v8|Stage IV Pancreatic Cancer AJCC v8|Stage IV Prostate Cancer AJCC v8|Unresectable Pancreatic Adenocarcinoma",Entrectinib,CN1CCN(CC1)C2=CC(=C(C=C2)C(=O)NC3=NNC4=C3C=C(C=C4)CC5=CC(=CC(=C5)F)F)NC6CCOCC6,cardiovascular_disease
5219,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Anatomic Stage IV Breast Cancer AJCC v8|Anemia|Ann Arbor Stage III Hodgkin Lymphoma|Ann Arbor Stage III Non-Hodgkin Lymphoma|Ann Arbor Stage IV Hodgkin Lymphoma|Ann Arbor Stage IV Non-Hodgkin Lymphoma|Atypical Chronic Myeloid Leukemia, BCR-ABL1 Negative|Blast Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Castration-Resistant Prostate Carcinoma|Chronic Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Hematopoietic and Lymphoid System Neoplasm|Locally Advanced Pancreatic Adenocarcinoma|Metastatic Breast Carcinoma|Metastatic Malignant Solid Neoplasm|Metastatic Pancreatic Adenocarcinoma|Myelodysplastic/Myeloproliferative Neoplasm With Ring Sideroblasts and Thrombocytosis|Myelodysplastic/Myeloproliferative Neoplasm, Unclassifiable|Primary Myelofibrosis|Recurrent Acute Lymphoblastic Leukemia|Recurrent Acute Myeloid Leukemia|Recurrent Chronic Lymphocytic Leukemia|Recurrent Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Recurrent Hematologic Malignancy|Recurrent Hodgkin Lymphoma|Recurrent Myelodysplastic Syndrome|Recurrent Myelodysplastic/Myeloproliferative Neoplasm|Recurrent Myeloproliferative Neoplasm|Recurrent Non-Hodgkin Lymphoma|Recurrent Plasma Cell Myeloma|Recurrent Small Lymphocytic Lymphoma|Refractory Acute Lymphoblastic Leukemia|Refractory Acute Myeloid Leukemia|Refractory Chronic Lymphocytic Leukemia|Refractory Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Refractory Chronic Myelomonocytic Leukemia|Refractory Hematologic Malignancy|Refractory Hodgkin Lymphoma|Refractory Malignant Solid Neoplasm|Refractory Myelodysplastic Syndrome|Refractory Myelodysplastic/Myeloproliferative Neoplasm|Refractory Non-Hodgkin Lymphoma|Refractory Plasma Cell Myeloma|Refractory Primary Myelofibrosis|Refractory Small Lymphocytic Lymphoma|Stage II Pancreatic Cancer AJCC v8|Stage III Pancreatic Cancer AJCC v8|Stage IV Pancreatic Cancer AJCC v8|Stage IV Prostate Cancer AJCC v8|Unresectable Pancreatic Adenocarcinoma",Enzalutamide,CC1(C(=O)N(C(=S)N1C2=CC(=C(C=C2)C(=O)NC)F)C3=CC(=C(C=C3)C#N)C(F)(F)F)C,cardiovascular_disease
5220,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Anatomic Stage IV Breast Cancer AJCC v8|Anemia|Ann Arbor Stage III Hodgkin Lymphoma|Ann Arbor Stage III Non-Hodgkin Lymphoma|Ann Arbor Stage IV Hodgkin Lymphoma|Ann Arbor Stage IV Non-Hodgkin Lymphoma|Atypical Chronic Myeloid Leukemia, BCR-ABL1 Negative|Blast Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Castration-Resistant Prostate Carcinoma|Chronic Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Hematopoietic and Lymphoid System Neoplasm|Locally Advanced Pancreatic Adenocarcinoma|Metastatic Breast Carcinoma|Metastatic Malignant Solid Neoplasm|Metastatic Pancreatic Adenocarcinoma|Myelodysplastic/Myeloproliferative Neoplasm With Ring Sideroblasts and Thrombocytosis|Myelodysplastic/Myeloproliferative Neoplasm, Unclassifiable|Primary Myelofibrosis|Recurrent Acute Lymphoblastic Leukemia|Recurrent Acute Myeloid Leukemia|Recurrent Chronic Lymphocytic Leukemia|Recurrent Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Recurrent Hematologic Malignancy|Recurrent Hodgkin Lymphoma|Recurrent Myelodysplastic Syndrome|Recurrent Myelodysplastic/Myeloproliferative Neoplasm|Recurrent Myeloproliferative Neoplasm|Recurrent Non-Hodgkin Lymphoma|Recurrent Plasma Cell Myeloma|Recurrent Small Lymphocytic Lymphoma|Refractory Acute Lymphoblastic Leukemia|Refractory Acute Myeloid Leukemia|Refractory Chronic Lymphocytic Leukemia|Refractory Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Refractory Chronic Myelomonocytic Leukemia|Refractory Hematologic Malignancy|Refractory Hodgkin Lymphoma|Refractory Malignant Solid Neoplasm|Refractory Myelodysplastic Syndrome|Refractory Myelodysplastic/Myeloproliferative Neoplasm|Refractory Non-Hodgkin Lymphoma|Refractory Plasma Cell Myeloma|Refractory Primary Myelofibrosis|Refractory Small Lymphocytic Lymphoma|Stage II Pancreatic Cancer AJCC v8|Stage III Pancreatic Cancer AJCC v8|Stage IV Pancreatic Cancer AJCC v8|Stage IV Prostate Cancer AJCC v8|Unresectable Pancreatic Adenocarcinoma",Erlotinib,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC,cardiovascular_disease
5222,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Anatomic Stage IV Breast Cancer AJCC v8|Anemia|Ann Arbor Stage III Hodgkin Lymphoma|Ann Arbor Stage III Non-Hodgkin Lymphoma|Ann Arbor Stage IV Hodgkin Lymphoma|Ann Arbor Stage IV Non-Hodgkin Lymphoma|Atypical Chronic Myeloid Leukemia, BCR-ABL1 Negative|Blast Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Castration-Resistant Prostate Carcinoma|Chronic Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Hematopoietic and Lymphoid System Neoplasm|Locally Advanced Pancreatic Adenocarcinoma|Metastatic Breast Carcinoma|Metastatic Malignant Solid Neoplasm|Metastatic Pancreatic Adenocarcinoma|Myelodysplastic/Myeloproliferative Neoplasm With Ring Sideroblasts and Thrombocytosis|Myelodysplastic/Myeloproliferative Neoplasm, Unclassifiable|Primary Myelofibrosis|Recurrent Acute Lymphoblastic Leukemia|Recurrent Acute Myeloid Leukemia|Recurrent Chronic Lymphocytic Leukemia|Recurrent Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Recurrent Hematologic Malignancy|Recurrent Hodgkin Lymphoma|Recurrent Myelodysplastic Syndrome|Recurrent Myelodysplastic/Myeloproliferative Neoplasm|Recurrent Myeloproliferative Neoplasm|Recurrent Non-Hodgkin Lymphoma|Recurrent Plasma Cell Myeloma|Recurrent Small Lymphocytic Lymphoma|Refractory Acute Lymphoblastic Leukemia|Refractory Acute Myeloid Leukemia|Refractory Chronic Lymphocytic Leukemia|Refractory Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Refractory Chronic Myelomonocytic Leukemia|Refractory Hematologic Malignancy|Refractory Hodgkin Lymphoma|Refractory Malignant Solid Neoplasm|Refractory Myelodysplastic Syndrome|Refractory Myelodysplastic/Myeloproliferative Neoplasm|Refractory Non-Hodgkin Lymphoma|Refractory Plasma Cell Myeloma|Refractory Primary Myelofibrosis|Refractory Small Lymphocytic Lymphoma|Stage II Pancreatic Cancer AJCC v8|Stage III Pancreatic Cancer AJCC v8|Stage IV Pancreatic Cancer AJCC v8|Stage IV Prostate Cancer AJCC v8|Unresectable Pancreatic Adenocarcinoma",Fluorouracil,C1=C(C(=O)NC(=O)N1)F,cardiovascular_disease
5226,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Anatomic Stage IV Breast Cancer AJCC v8|Anemia|Ann Arbor Stage III Hodgkin Lymphoma|Ann Arbor Stage III Non-Hodgkin Lymphoma|Ann Arbor Stage IV Hodgkin Lymphoma|Ann Arbor Stage IV Non-Hodgkin Lymphoma|Atypical Chronic Myeloid Leukemia, BCR-ABL1 Negative|Blast Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Castration-Resistant Prostate Carcinoma|Chronic Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Hematopoietic and Lymphoid System Neoplasm|Locally Advanced Pancreatic Adenocarcinoma|Metastatic Breast Carcinoma|Metastatic Malignant Solid Neoplasm|Metastatic Pancreatic Adenocarcinoma|Myelodysplastic/Myeloproliferative Neoplasm With Ring Sideroblasts and Thrombocytosis|Myelodysplastic/Myeloproliferative Neoplasm, Unclassifiable|Primary Myelofibrosis|Recurrent Acute Lymphoblastic Leukemia|Recurrent Acute Myeloid Leukemia|Recurrent Chronic Lymphocytic Leukemia|Recurrent Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Recurrent Hematologic Malignancy|Recurrent Hodgkin Lymphoma|Recurrent Myelodysplastic Syndrome|Recurrent Myelodysplastic/Myeloproliferative Neoplasm|Recurrent Myeloproliferative Neoplasm|Recurrent Non-Hodgkin Lymphoma|Recurrent Plasma Cell Myeloma|Recurrent Small Lymphocytic Lymphoma|Refractory Acute Lymphoblastic Leukemia|Refractory Acute Myeloid Leukemia|Refractory Chronic Lymphocytic Leukemia|Refractory Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Refractory Chronic Myelomonocytic Leukemia|Refractory Hematologic Malignancy|Refractory Hodgkin Lymphoma|Refractory Malignant Solid Neoplasm|Refractory Myelodysplastic Syndrome|Refractory Myelodysplastic/Myeloproliferative Neoplasm|Refractory Non-Hodgkin Lymphoma|Refractory Plasma Cell Myeloma|Refractory Primary Myelofibrosis|Refractory Small Lymphocytic Lymphoma|Stage II Pancreatic Cancer AJCC v8|Stage III Pancreatic Cancer AJCC v8|Stage IV Pancreatic Cancer AJCC v8|Stage IV Prostate Cancer AJCC v8|Unresectable Pancreatic Adenocarcinoma",Lenvatinib,COC1=CC2=NC=CC(=C2C=C1C(=O)N)OC3=CC(=C(C=C3)NC(=O)NC4CC4)Cl,cardiovascular_disease
5227,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Anatomic Stage IV Breast Cancer AJCC v8|Anemia|Ann Arbor Stage III Hodgkin Lymphoma|Ann Arbor Stage III Non-Hodgkin Lymphoma|Ann Arbor Stage IV Hodgkin Lymphoma|Ann Arbor Stage IV Non-Hodgkin Lymphoma|Atypical Chronic Myeloid Leukemia, BCR-ABL1 Negative|Blast Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Castration-Resistant Prostate Carcinoma|Chronic Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Hematopoietic and Lymphoid System Neoplasm|Locally Advanced Pancreatic Adenocarcinoma|Metastatic Breast Carcinoma|Metastatic Malignant Solid Neoplasm|Metastatic Pancreatic Adenocarcinoma|Myelodysplastic/Myeloproliferative Neoplasm With Ring Sideroblasts and Thrombocytosis|Myelodysplastic/Myeloproliferative Neoplasm, Unclassifiable|Primary Myelofibrosis|Recurrent Acute Lymphoblastic Leukemia|Recurrent Acute Myeloid Leukemia|Recurrent Chronic Lymphocytic Leukemia|Recurrent Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Recurrent Hematologic Malignancy|Recurrent Hodgkin Lymphoma|Recurrent Myelodysplastic Syndrome|Recurrent Myelodysplastic/Myeloproliferative Neoplasm|Recurrent Myeloproliferative Neoplasm|Recurrent Non-Hodgkin Lymphoma|Recurrent Plasma Cell Myeloma|Recurrent Small Lymphocytic Lymphoma|Refractory Acute Lymphoblastic Leukemia|Refractory Acute Myeloid Leukemia|Refractory Chronic Lymphocytic Leukemia|Refractory Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Refractory Chronic Myelomonocytic Leukemia|Refractory Hematologic Malignancy|Refractory Hodgkin Lymphoma|Refractory Malignant Solid Neoplasm|Refractory Myelodysplastic Syndrome|Refractory Myelodysplastic/Myeloproliferative Neoplasm|Refractory Non-Hodgkin Lymphoma|Refractory Plasma Cell Myeloma|Refractory Primary Myelofibrosis|Refractory Small Lymphocytic Lymphoma|Stage II Pancreatic Cancer AJCC v8|Stage III Pancreatic Cancer AJCC v8|Stage IV Pancreatic Cancer AJCC v8|Stage IV Prostate Cancer AJCC v8|Unresectable Pancreatic Adenocarcinoma",Leucovorin,C1C(N(C2=C(N1)N=C(NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,cardiovascular_disease
5228,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Anatomic Stage IV Breast Cancer AJCC v8|Anemia|Ann Arbor Stage III Hodgkin Lymphoma|Ann Arbor Stage III Non-Hodgkin Lymphoma|Ann Arbor Stage IV Hodgkin Lymphoma|Ann Arbor Stage IV Non-Hodgkin Lymphoma|Atypical Chronic Myeloid Leukemia, BCR-ABL1 Negative|Blast Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Castration-Resistant Prostate Carcinoma|Chronic Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Hematopoietic and Lymphoid System Neoplasm|Locally Advanced Pancreatic Adenocarcinoma|Metastatic Breast Carcinoma|Metastatic Malignant Solid Neoplasm|Metastatic Pancreatic Adenocarcinoma|Myelodysplastic/Myeloproliferative Neoplasm With Ring Sideroblasts and Thrombocytosis|Myelodysplastic/Myeloproliferative Neoplasm, Unclassifiable|Primary Myelofibrosis|Recurrent Acute Lymphoblastic Leukemia|Recurrent Acute Myeloid Leukemia|Recurrent Chronic Lymphocytic Leukemia|Recurrent Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Recurrent Hematologic Malignancy|Recurrent Hodgkin Lymphoma|Recurrent Myelodysplastic Syndrome|Recurrent Myelodysplastic/Myeloproliferative Neoplasm|Recurrent Myeloproliferative Neoplasm|Recurrent Non-Hodgkin Lymphoma|Recurrent Plasma Cell Myeloma|Recurrent Small Lymphocytic Lymphoma|Refractory Acute Lymphoblastic Leukemia|Refractory Acute Myeloid Leukemia|Refractory Chronic Lymphocytic Leukemia|Refractory Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Refractory Chronic Myelomonocytic Leukemia|Refractory Hematologic Malignancy|Refractory Hodgkin Lymphoma|Refractory Malignant Solid Neoplasm|Refractory Myelodysplastic Syndrome|Refractory Myelodysplastic/Myeloproliferative Neoplasm|Refractory Non-Hodgkin Lymphoma|Refractory Plasma Cell Myeloma|Refractory Primary Myelofibrosis|Refractory Small Lymphocytic Lymphoma|Stage II Pancreatic Cancer AJCC v8|Stage III Pancreatic Cancer AJCC v8|Stage IV Pancreatic Cancer AJCC v8|Stage IV Prostate Cancer AJCC v8|Unresectable Pancreatic Adenocarcinoma",Lorlatinib,CC1C2=C(C=CC(=C2)F)C(=O)N(CC3=NN(C(=C3C4=CC(=C(N=C4)N)O1)C#N)C)C,cardiovascular_disease
5230,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Anatomic Stage IV Breast Cancer AJCC v8|Anemia|Ann Arbor Stage III Hodgkin Lymphoma|Ann Arbor Stage III Non-Hodgkin Lymphoma|Ann Arbor Stage IV Hodgkin Lymphoma|Ann Arbor Stage IV Non-Hodgkin Lymphoma|Atypical Chronic Myeloid Leukemia, BCR-ABL1 Negative|Blast Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Castration-Resistant Prostate Carcinoma|Chronic Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Hematopoietic and Lymphoid System Neoplasm|Locally Advanced Pancreatic Adenocarcinoma|Metastatic Breast Carcinoma|Metastatic Malignant Solid Neoplasm|Metastatic Pancreatic Adenocarcinoma|Myelodysplastic/Myeloproliferative Neoplasm With Ring Sideroblasts and Thrombocytosis|Myelodysplastic/Myeloproliferative Neoplasm, Unclassifiable|Primary Myelofibrosis|Recurrent Acute Lymphoblastic Leukemia|Recurrent Acute Myeloid Leukemia|Recurrent Chronic Lymphocytic Leukemia|Recurrent Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Recurrent Hematologic Malignancy|Recurrent Hodgkin Lymphoma|Recurrent Myelodysplastic Syndrome|Recurrent Myelodysplastic/Myeloproliferative Neoplasm|Recurrent Myeloproliferative Neoplasm|Recurrent Non-Hodgkin Lymphoma|Recurrent Plasma Cell Myeloma|Recurrent Small Lymphocytic Lymphoma|Refractory Acute Lymphoblastic Leukemia|Refractory Acute Myeloid Leukemia|Refractory Chronic Lymphocytic Leukemia|Refractory Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Refractory Chronic Myelomonocytic Leukemia|Refractory Hematologic Malignancy|Refractory Hodgkin Lymphoma|Refractory Malignant Solid Neoplasm|Refractory Myelodysplastic Syndrome|Refractory Myelodysplastic/Myeloproliferative Neoplasm|Refractory Non-Hodgkin Lymphoma|Refractory Plasma Cell Myeloma|Refractory Primary Myelofibrosis|Refractory Small Lymphocytic Lymphoma|Stage II Pancreatic Cancer AJCC v8|Stage III Pancreatic Cancer AJCC v8|Stage IV Pancreatic Cancer AJCC v8|Stage IV Prostate Cancer AJCC v8|Unresectable Pancreatic Adenocarcinoma",Neratinib,CCOC1=C(C=C2C(=C1)N=CC(=C2NC3=CC(=C(C=C3)OCC4=CC=CC=N4)Cl)C#N)NC(=O)C=CCN(C)C,cardiovascular_disease
5232,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Anatomic Stage IV Breast Cancer AJCC v8|Anemia|Ann Arbor Stage III Hodgkin Lymphoma|Ann Arbor Stage III Non-Hodgkin Lymphoma|Ann Arbor Stage IV Hodgkin Lymphoma|Ann Arbor Stage IV Non-Hodgkin Lymphoma|Atypical Chronic Myeloid Leukemia, BCR-ABL1 Negative|Blast Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Castration-Resistant Prostate Carcinoma|Chronic Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Hematopoietic and Lymphoid System Neoplasm|Locally Advanced Pancreatic Adenocarcinoma|Metastatic Breast Carcinoma|Metastatic Malignant Solid Neoplasm|Metastatic Pancreatic Adenocarcinoma|Myelodysplastic/Myeloproliferative Neoplasm With Ring Sideroblasts and Thrombocytosis|Myelodysplastic/Myeloproliferative Neoplasm, Unclassifiable|Primary Myelofibrosis|Recurrent Acute Lymphoblastic Leukemia|Recurrent Acute Myeloid Leukemia|Recurrent Chronic Lymphocytic Leukemia|Recurrent Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Recurrent Hematologic Malignancy|Recurrent Hodgkin Lymphoma|Recurrent Myelodysplastic Syndrome|Recurrent Myelodysplastic/Myeloproliferative Neoplasm|Recurrent Myeloproliferative Neoplasm|Recurrent Non-Hodgkin Lymphoma|Recurrent Plasma Cell Myeloma|Recurrent Small Lymphocytic Lymphoma|Refractory Acute Lymphoblastic Leukemia|Refractory Acute Myeloid Leukemia|Refractory Chronic Lymphocytic Leukemia|Refractory Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Refractory Chronic Myelomonocytic Leukemia|Refractory Hematologic Malignancy|Refractory Hodgkin Lymphoma|Refractory Malignant Solid Neoplasm|Refractory Myelodysplastic Syndrome|Refractory Myelodysplastic/Myeloproliferative Neoplasm|Refractory Non-Hodgkin Lymphoma|Refractory Plasma Cell Myeloma|Refractory Primary Myelofibrosis|Refractory Small Lymphocytic Lymphoma|Stage II Pancreatic Cancer AJCC v8|Stage III Pancreatic Cancer AJCC v8|Stage IV Pancreatic Cancer AJCC v8|Stage IV Prostate Cancer AJCC v8|Unresectable Pancreatic Adenocarcinoma",Olaparib,C1CC1C(=O)N2CCN(CC2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=CC=CC=C54)F,cardiovascular_disease
5233,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Anatomic Stage IV Breast Cancer AJCC v8|Anemia|Ann Arbor Stage III Hodgkin Lymphoma|Ann Arbor Stage III Non-Hodgkin Lymphoma|Ann Arbor Stage IV Hodgkin Lymphoma|Ann Arbor Stage IV Non-Hodgkin Lymphoma|Atypical Chronic Myeloid Leukemia, BCR-ABL1 Negative|Blast Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Castration-Resistant Prostate Carcinoma|Chronic Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Hematopoietic and Lymphoid System Neoplasm|Locally Advanced Pancreatic Adenocarcinoma|Metastatic Breast Carcinoma|Metastatic Malignant Solid Neoplasm|Metastatic Pancreatic Adenocarcinoma|Myelodysplastic/Myeloproliferative Neoplasm With Ring Sideroblasts and Thrombocytosis|Myelodysplastic/Myeloproliferative Neoplasm, Unclassifiable|Primary Myelofibrosis|Recurrent Acute Lymphoblastic Leukemia|Recurrent Acute Myeloid Leukemia|Recurrent Chronic Lymphocytic Leukemia|Recurrent Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Recurrent Hematologic Malignancy|Recurrent Hodgkin Lymphoma|Recurrent Myelodysplastic Syndrome|Recurrent Myelodysplastic/Myeloproliferative Neoplasm|Recurrent Myeloproliferative Neoplasm|Recurrent Non-Hodgkin Lymphoma|Recurrent Plasma Cell Myeloma|Recurrent Small Lymphocytic Lymphoma|Refractory Acute Lymphoblastic Leukemia|Refractory Acute Myeloid Leukemia|Refractory Chronic Lymphocytic Leukemia|Refractory Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Refractory Chronic Myelomonocytic Leukemia|Refractory Hematologic Malignancy|Refractory Hodgkin Lymphoma|Refractory Malignant Solid Neoplasm|Refractory Myelodysplastic Syndrome|Refractory Myelodysplastic/Myeloproliferative Neoplasm|Refractory Non-Hodgkin Lymphoma|Refractory Plasma Cell Myeloma|Refractory Primary Myelofibrosis|Refractory Small Lymphocytic Lymphoma|Stage II Pancreatic Cancer AJCC v8|Stage III Pancreatic Cancer AJCC v8|Stage IV Pancreatic Cancer AJCC v8|Stage IV Prostate Cancer AJCC v8|Unresectable Pancreatic Adenocarcinoma",Oxaliplatin,C1CCC(C(C1)[NH-])[NH-].C(=O)(C(=O)O)O.[Pt+2],cardiovascular_disease
5238,"Accelerated Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Anatomic Stage IV Breast Cancer AJCC v8|Anemia|Ann Arbor Stage III Hodgkin Lymphoma|Ann Arbor Stage III Non-Hodgkin Lymphoma|Ann Arbor Stage IV Hodgkin Lymphoma|Ann Arbor Stage IV Non-Hodgkin Lymphoma|Atypical Chronic Myeloid Leukemia, BCR-ABL1 Negative|Blast Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Castration-Resistant Prostate Carcinoma|Chronic Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Hematopoietic and Lymphoid System Neoplasm|Locally Advanced Pancreatic Adenocarcinoma|Metastatic Breast Carcinoma|Metastatic Malignant Solid Neoplasm|Metastatic Pancreatic Adenocarcinoma|Myelodysplastic/Myeloproliferative Neoplasm With Ring Sideroblasts and Thrombocytosis|Myelodysplastic/Myeloproliferative Neoplasm, Unclassifiable|Primary Myelofibrosis|Recurrent Acute Lymphoblastic Leukemia|Recurrent Acute Myeloid Leukemia|Recurrent Chronic Lymphocytic Leukemia|Recurrent Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Recurrent Hematologic Malignancy|Recurrent Hodgkin Lymphoma|Recurrent Myelodysplastic Syndrome|Recurrent Myelodysplastic/Myeloproliferative Neoplasm|Recurrent Myeloproliferative Neoplasm|Recurrent Non-Hodgkin Lymphoma|Recurrent Plasma Cell Myeloma|Recurrent Small Lymphocytic Lymphoma|Refractory Acute Lymphoblastic Leukemia|Refractory Acute Myeloid Leukemia|Refractory Chronic Lymphocytic Leukemia|Refractory Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Refractory Chronic Myelomonocytic Leukemia|Refractory Hematologic Malignancy|Refractory Hodgkin Lymphoma|Refractory Malignant Solid Neoplasm|Refractory Myelodysplastic Syndrome|Refractory Myelodysplastic/Myeloproliferative Neoplasm|Refractory Non-Hodgkin Lymphoma|Refractory Plasma Cell Myeloma|Refractory Primary Myelofibrosis|Refractory Small Lymphocytic Lymphoma|Stage II Pancreatic Cancer AJCC v8|Stage III Pancreatic Cancer AJCC v8|Stage IV Pancreatic Cancer AJCC v8|Stage IV Prostate Cancer AJCC v8|Unresectable Pancreatic Adenocarcinoma",Ponatinib,CC1=C(C=C(C=C1)C(=O)NC2=CC(=C(C=C2)CN3CCN(CC3)C)C(F)(F)F)C#CC4=CN=C5N4N=CC=C5,cardiovascular_disease
